Title;Artist familiarity;Artist hotness;Artist ID;Artist mbID;Artist playmeid;Artist 7DigitalID;Artist latitude;Artist longitude;Artist location;Artist Name;Release;Release 7DigitalID;Song ID;Song Hotness;Track 7Digital;Analysis sample rate;Audio md5;Danceability;Duration;End of Fade;Energy;Key;Key Confidence;Loudness;Mode;Mode Confidence;Start of fade out;Tempo;Time signature;Time signature confidence;Track ID;Year
b'Ali Ba Ba';0.5037387899485233;0.35929084897032304;b'ARIHI8H1187B9B0058';b'ae7865db-9c9b-458a-b252-b7fdd66f56ac';65805;7785;18.11526;-77.27348;b'Jamaica';b'Jackie Edwards';b'ALI BA BA';717911;b'SODVART12AB0188835';nan;7959237;22050;b'c498722a4d635ee0b7d6c2370a7e25bc';0.0;178.46812;0.295;0.0;10;0.082;-14.635;1;0.417;171.015;158.322;4;0.0;b'TRAMGZG12903CC672C';0
b'I Say No';0.5363361861726104;0.414609584706623;b'ARPTJHV11F4C83EF53';b'';88200;483;nan;nan;b'';b'Mighty Diamonds';b'The Real Enemy';273658;b'SOXYJAJ12A81C22F87';0.0;3063509;22050;b'f0c901e09d2649a4707256eb01b749af';0.0;242.23302;0.0;0.0;9;0.729;-8.03;1;0.515;230.522;171.377;4;0.163;b'TRAMGTB128F4251586';0
b'My Friend the Blind';0.47902340973675245;0.3222207489135164;b'ARWUK9L11C8A42C37B';b'9742f806-84e1-4036-8b6c-34b25a39d533';-1;348492;32.58507;-89.87374;b'Mississippi';b'Workhorse';b'Beasts of Burden';470948;b'SOBASZR12AB0188D8E';0.0;5234856;22050;b'7c94f9d273853a9f6e2ac0b977c8eb4c';0.0;276.37506;0.0;0.0;7;0.808;-6.787;1;0.673;270.06;132.093;4;0.0;b'TRAMGTA128F9343FAC';2007
b'Always And Forever (Bff)  (Power Album Version)';0.5503033788841007;0.40737314928722795;b'ARI4NXX1187FB59DF2';b'dd72205c-86d3-4b8e-852c-b5f7a0a929ea';1319;19014;nan;nan;b'Wisconsin';b'Raze';b'Power';156228;b'SOQPGGJ12A8C13ABEB';nan;1640396;22050;b'2081eeb144b372c72757444a944bc3d7';0.0;938.00444;0.0;0.0;5;0.674;-7.227;1;0.478;898.897;102.606;5;0.981;b'TRAMGZV128F426FAB3';0
b'The Tarnished Angels (remastered)';0.6945665116879624;0.4316485555473671;b'ARHJMEF1187FB415AE';b'3f6fb6f6-f129-4fe2-8e17-aceb8a85ebc2';-1;6069;nan;nan;b'D\xef\xbf\xbdorf, Germany';b'Fehlfarben';b'Die Platte Des Himmlischen Friedens';8820;b'SOXNQKW12A6701F7E0';nan;89597;22050;b'34331ea798a940af9eee43148783d246';0.0;330.65751;0.0;0.0;7;0.805;-8.351;1;0.536;314.851;91.097;3;1.0;b'TRAMGQR128E0786CA7';1991
b'Revival In The Land (Album)';0.381481861314382;0.3502138249441181;b'ARSVRVA1187B99228A';b'cdd110d9-11b0-441f-a07b-301ca079cadb';-1;103309;nan;nan;b'';b'The Nelons';b'Get Ready';506186;b'SOGBOCA12A582A2A78';nan;5597014;22050;b'1107833ccf9371c863127c80da82a067';0.0;170.55302;0.0;0.0;9;0.747;-10.674;1;0.49;165.645;164.828;4;0.8;b'TRAMGGI128F932EC4D';0
b'Sporting Life Blues (Album Version)';0.6757713674141217;0.4354688988157254;b'AR93D4D1187FB3ACAD';b'4b0be624-6b87-47e8-bbf0-588a2c6c0439';5826;1374;35.472;-97.52033;b'Oklahoma City, OK';b'J.J. Cale & Eric Clapton';b'The Road To Escondido';47666;b'SOJKFQE12A58A7CA77';0.43675176268158095;510861;22050;b'a16079c1353ed1397dd167460cea4f0e';0.0;211.17342;2.508;0.0;5;0.27;-14.259;1;0.319;204.312;113.151;3;1.0;b'TRAMGAZ128F148D4C3';0
b'Panama (Album Version)';0.7446412459327763;0.5799889824287546;b'ARNLO5S1187B9B80CC';b'b665b768-0d83-4363-950c-31ed39317c15';54598;4741;nan;nan;b'Pasadena, CA';b'Van Halen';b'Best Of Volume 1';600546;b'SOZERJS12AC9070FF3';nan;6665615;22050;b'40a07ab1821d0690a2853dc736897427';0.0;212.63628;2.101;0.0;8;0.411;-5.338;1;0.464;209.653;141.325;1;0.319;b'TRAMGDX12903CEF79F';0
b'Man Man';0.5463464694583766;0.4137721731378543;b'ARN3X4T1187B99EA39';b'a2cab261-63cc-4ccf-8023-6b6e8588bb62';-1;17457;nan;nan;b'';b'Jacky Cheung';b'Wang Ji Ni Wo Zuo Bu Dao';46630;b'SOSKQYI12A6D4F95E2';nan;498303;22050;b'406fec904af3faed9bd1371680cd4140';0.0;283.71546;0.481;0.0;6;0.179;-10.305;0;0.275;259.007;99.144;1;1.0;b'TRAMGBE128F148B476';0
b'Down South';0.45178440595419245;0.3609162300146392;b'AR3EABF1187B98AD35';b'1404fcf2-5c92-434b-8d37-7f9b0c8f986f';20252;25491;59.46148;108.83178;b'Russia';b'Sophie Tucker';b'The Golden Jubilee Album';301426;b'SOVKRGY12A8C13981D';nan;3392149;22050;b'd58fb1214e2a21ae0da73f47d013d2d7';0.0;121.20771;0.166;0.0;10;0.172;-11.345;1;0.297;115.252;95.514;4;0.632;b'TRAMGZR128F429AF94';0
